   Step   Time    Walltime(s) Profile
 250000  50.0000    10.2110   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    11.2297   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    12.2507   ████████████████████████████████████████████████
 325000  65.0000    13.2700   ████████████████████████████████████████████████
 350000  70.0000    14.2901   ████████████████████████████████████████████████
 375000  75.0000    15.3097   ████████████████████████████████████████████████
 400000  80.0000    16.3290   ████████████████████████████████████████████████
 425000  85.0000    17.3492   ████████████████████████████████████████████████
 450000  90.0000    18.3705   ████████████████████████████████████████████████
 475000  95.0000    19.3898   ████████████████████████████████████████████████
 500000 100.0000    20.4093   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0015   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     0.9694   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     1.9411   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     2.9063   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     3.8731   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     4.8390   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     5.8055   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     6.7718   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     7.7404   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000     8.7098   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000     9.6781   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    10.6463   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    11.6167   ████████████████████████████████████████████████
 325000  65.0000    12.5856   ████████████████████████████████████████████████
 350000  70.0000    13.5544   ████████████████████████████████████████████████
 375000  75.0000    14.5210   ████████████████████████████████████████████████
 400000  80.0000    15.4885   ████████████████████████████████████████████████
 425000  85.0000    16.4547   ████████████████████████████████████████████████
 450000  90.0000    17.4220   ████████████████████████████████████████████████
 475000  95.0000    18.3926   ████████████████████████████████████████████████
 500000 100.0000    19.3623   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0014   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     0.9685   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     1.9490   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     2.9306   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     3.9099   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     4.8843   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     5.8569   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     6.8267   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     7.8029   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000     8.7807   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000     9.7609   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    10.7403   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    11.7165   ████████████████████████████████████████████████
 325000  65.0000    12.6890   ████████████████████████████████████████████████
 350000  70.0000    13.6743   ████████████████████████████████████████████████
 375000  75.0000    14.6504   ████████████████████████████████████████████████
 400000  80.0000    15.6290   ████████████████████████████████████████████████
 425000  85.0000    16.6085   ████████████████████████████████████████████████
 450000  90.0000    17.5851   ████████████████████████████████████████████████
 475000  95.0000    18.5612   ████████████████████████████████████████████████
 500000 100.0000    19.5415   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0014   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     0.9698   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     1.9424   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     2.9136   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     3.8830   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     4.8549   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     5.8251   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     6.7957   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     7.7660   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000     8.7374   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000     9.7082   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    10.6785   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    11.6492   ████████████████████████████████████████████████
 325000  65.0000    12.6187   ████████████████████████████████████████████████
 350000  70.0000    13.5910   ████████████████████████████████████████████████
 375000  75.0000    14.5625   ████████████████████████████████████████████████
 400000  80.0000    15.5322   ████████████████████████████████████████████████
 425000  85.0000    16.5021   ████████████████████████████████████████████████
 450000  90.0000    17.4732   ████████████████████████████████████████████████
 475000  95.0000    18.4433   ████████████████████████████████████████████████
 500000 100.0000    19.4133   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0014   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     0.9254   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     1.8513   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     2.7721   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     3.6937   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     4.6166   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     5.5386   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     6.4596   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     7.3826   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000     8.3075   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000     9.2325   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    10.1552   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    11.0803   ████████████████████████████████████████████████
 325000  65.0000    12.0033   ████████████████████████████████████████████████
 350000  70.0000    12.9268   ████████████████████████████████████████████████
 375000  75.0000    13.8523   ████████████████████████████████████████████████
 400000  80.0000    14.7760   ████████████████████████████████████████████████
 425000  85.0000    15.7003   ████████████████████████████████████████████████
 450000  90.0000    16.6241   ████████████████████████████████████████████████
 475000  95.0000    17.5492   ████████████████████████████████████████████████
 500000 100.0000    18.4718   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0014   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  25000   5.0000     0.9229   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▅▆▇▇██████▇▇▆▅▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁
  50000  10.0000     1.8483   ▁▁▂▂▂▂▂▂▃▃▃▄▄▅▅▆▆▇▇▇████████▇▇▇▆▆▅▅▄▄▃▃▃▂▂▂▂▂▂▁▁
  75000  15.0000     2.7690   ▂▂▂▃▃▃▃▃▄▄▄▅▅▆▆▆▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂
 100000  20.0000     3.6895   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▆▇▇▇▇██████████▇▇▇▇▆▆▆▆▅▅▅▄▄▄▄▄▃▃▃
 125000  25.0000     4.6121   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇▇████████████▇▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄
 150000  30.0000     5.5338   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇██████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅
 175000  35.0000     6.4567   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆
 200000  40.0000     7.3777   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇████████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆
 225000  45.0000     8.2999   ▇▇▇▇▇▇▇▇▇▇▇▇▇██████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 250000  50.0000     9.2200   ▇▇▇▇▇▇▇▇▇▇████████████████████████████▇▇▇▇▇▇▇▇▇▇
 275000  55.0000    10.1414   ▇▇▇▇▇▇████████████████████████████████████▇▇▇▇▇▇
 300000  60.0000    11.0624   ████████████████████████████████████████████████
 325000  65.0000    11.9835   ████████████████████████████████████████████████
 350000  70.0000    12.9050   ████████████████████████████████████████████████
 375000  75.0000    13.8257   ████████████████████████████████████████████████
 400000  80.0000    14.7474   ████████████████████████████████████████████████
 425000  85.0000    15.6691   ████████████████████████████████████████████████
 450000  90.0000    16.5903   ████████████████████████████████████████████████
 475000  95.0000    17.5111   ████████████████████████████████████████████████
 500000 100.0000    18.4324   ████████████████████████████████████████████████

scontrol show jobid 44530
JobId=44530 JobName=pranjal16
   UserId=phy1610student022(1901422) GroupId=teachphy1610(1900004) MCS_label=N/A
   Priority=147155 Nice=0 Account=teach QOS=normal
   JobState=COMPLETING Reason=None Dependency=(null)
   Requeue=0 Restarts=0 BatchFlag=1 Reboot=0 ExitCode=0:0
   RunTime=00:09:20 TimeLimit=01:00:00 TimeMin=N/A
   SubmitTime=2019-04-02T17:46:48 EligibleTime=2019-04-02T17:46:48
   StartTime=2019-04-02T17:46:48 EndTime=2019-04-02T17:56:08 Deadline=N/A
   PreemptTime=None SuspendTime=None SecsPreSuspend=0
   LastSchedEval=2019-04-02T17:46:48
   Partition=compute AllocNode:Sid=teach01:20604
   ReqNodeList=(null) ExcNodeList=(null)
   NodeList=teach02
   BatchHost=teach02
   NumNodes=1 NumCPUs=16 NumTasks=16 CPUs/Task=1 ReqB:S:C:T=0:0:*:*
   TRES=cpu=16,node=1,billing=16
   Socks/Node=* NtasksPerN:B:S:C=16:0:*:1 CoreSpec=*
   MinCPUsNode=16 MinMemoryNode=0 MinTmpDiskNode=0
   Features=(null) DelayBoot=00:00:00
   Gres=(null) Reservation=(null)
   OverSubscribe=OK Contiguous=0 Licenses=(null) Network=(null)
   Command=/gpfs/fs0/scratch/t/teachphy1610/phy1610student022/parallel.sh
   WorkDir=/gpfs/fs0/scratch/t/teachphy1610/phy1610student022
   StdErr=/gpfs/fs0/scratch/t/teachphy1610/phy1610student022/diff_16.txt
   StdIn=/dev/null
   StdOut=/gpfs/fs0/scratch/t/teachphy1610/phy1610student022/diff_16.txt
   Power=

sacct -j 44530
       JobID    JobName    Account    Elapsed  MaxVMSize     MaxRSS  SystemCPU    UserCPU ExitCode 
------------ ---------- ---------- ---------- ---------- ---------- ---------- ---------- -------- 
44530         pranjal16      teach   00:09:21                                                  0:0 
